domain	tier	tier_name	control_axis	physical_path	rationale	review_status
advance-care-planning-medical-decision-continuity	C6	局部可能性解锁层	局部阻塞解除	domains/c6-local-unlocking/advance-care-planning-medical-decision-continuity	未命中更高层边界、载体、能力、转换或生态规则，暂归为具体场景的局部可能性解锁。	heuristic-v0.1
advanced-nuclear-energy-safety-generation-continuity	C2	可能性源体维护层	生命载体维护	domains/c2-source-maintenance/advanced-nuclear-energy-safety-generation-continuity	关键词显示该域主要维护身体、脑、器官、细胞、急性生命风险或衰老损伤控制。	heuristic-v0.1
after-hours-urgent-care-triage-continuity	C6	局部可能性解锁层	局部阻塞解除	domains/c6-local-unlocking/after-hours-urgent-care-triage-continuity	未命中更高层边界、载体、能力、转换或生态规则，暂归为具体场景的局部可能性解锁。	heuristic-v0.1
afterschool-snack-supper-meal-continuity	C6	局部可能性解锁层	局部阻塞解除	domains/c6-local-unlocking/afterschool-snack-supper-meal-continuity	未命中更高层边界、载体、能力、转换或生态规则，暂归为具体场景的局部可能性解锁。	heuristic-v0.1
age-related-hearing-loss-hearing-aid-continuity	C2	可能性源体维护层	生命载体维护	domains/c2-source-maintenance/age-related-hearing-loss-hearing-aid-continuity	关键词显示该域主要维护身体、脑、器官、细胞、急性生命风险或衰老损伤控制。	heuristic-v0.1
age-related-macular-degeneration-central-vision-continuity	C2	可能性源体维护层	生命载体维护	domains/c2-source-maintenance/age-related-macular-degeneration-central-vision-continuity	关键词显示该域主要维护身体、脑、器官、细胞、急性生命风险或衰老损伤控制。	heuristic-v0.1
agricultural-production-food-system-resilience	C5	可能性生态承载层	外部生态承载	domains/c5-ecological-substrate/agricultural-production-food-system-resilience	主要提供主体展开未来所需的基础环境、资源、治理或基础设施。	heuristic-v0.1
ai-agency-safety	C3	可能性生成引擎层	主体能力生成	domains/c3-generation-engine/ai-agency-safety	主要放大主体学习、认知、工具使用和生成新路径的能力。	heuristic-v0.1
ai-agent-tool-permission-sandbox-continuity	C3	可能性生成引擎层	主体能力生成	domains/c3-generation-engine/ai-agent-tool-permission-sandbox-continuity	关键词显示该域主要增强认知、学习、工具、AI、技能或沟通能力。	heuristic-v0.1
ai-data-provenance-contamination-drift-continuity	C3	可能性生成引擎层	主体能力生成	domains/c3-generation-engine/ai-data-provenance-contamination-drift-continuity	关键词显示该域主要增强认知、学习、工具、AI、技能或沟通能力。	heuristic-v0.1
ai-drug-discovery-protein-design	C3	可能性生成引擎层	主体能力生成	domains/c3-generation-engine/ai-drug-discovery-protein-design	关键词显示该域主要增强认知、学习、工具、AI、技能或沟通能力。	heuristic-v0.1
ai-evaluation-benchmark-validity-continuity	C3	可能性生成引擎层	主体能力生成	domains/c3-generation-engine/ai-evaluation-benchmark-validity-continuity	关键词显示该域主要增强认知、学习、工具、AI、技能或沟通能力。	heuristic-v0.1
ai-hardware-accelerator-performance-continuity	C3	可能性生成引擎层	主体能力生成	domains/c3-generation-engine/ai-hardware-accelerator-performance-continuity	关键词显示该域主要增强认知、学习、工具、AI、技能或沟通能力。	heuristic-v0.1
ai-impersonation-deepfake-fraud-continuity	C3	可能性生成引擎层	主体能力生成	domains/c3-generation-engine/ai-impersonation-deepfake-fraud-continuity	关键词显示该域主要增强认知、学习、工具、AI、技能或沟通能力。	heuristic-v0.1
ai-incident-reporting-post-deployment-monitoring-continuity	C3	可能性生成引擎层	主体能力生成	domains/c3-generation-engine/ai-incident-reporting-post-deployment-monitoring-continuity	关键词显示该域主要增强认知、学习、工具、AI、技能或沟通能力。	heuristic-v0.1
ai-model-supply-chain-provenance-release-continuity	C3	可能性生成引擎层	主体能力生成	domains/c3-generation-engine/ai-model-supply-chain-provenance-release-continuity	关键词显示该域主要增强认知、学习、工具、AI、技能或沟通能力。	heuristic-v0.1
ai-red-teaming-adversarial-testing-continuity	C3	可能性生成引擎层	主体能力生成	domains/c3-generation-engine/ai-red-teaming-adversarial-testing-continuity	关键词显示该域主要增强认知、学习、工具、AI、技能或沟通能力。	heuristic-v0.1
ai-resource-cost-latency-budget-continuity	C3	可能性生成引擎层	主体能力生成	domains/c3-generation-engine/ai-resource-cost-latency-budget-continuity	关键词显示该域主要增强认知、学习、工具、AI、技能或沟通能力。	heuristic-v0.1
ai-training-data-rights-opt-out-provenance-continuity	C3	可能性生成引擎层	主体能力生成	domains/c3-generation-engine/ai-training-data-rights-opt-out-provenance-continuity	关键词显示该域主要增强认知、学习、工具、AI、技能或沟通能力。	heuristic-v0.1
air-passenger-rights-disruption-refund-continuity	C3	可能性生成引擎层	主体能力生成	domains/c3-generation-engine/air-passenger-rights-disruption-refund-continuity	关键词显示该域主要增强认知、学习、工具、AI、技能或沟通能力。	heuristic-v0.1
air-quality-ventilation-exposure-control	C3	可能性生成引擎层	主体能力生成	domains/c3-generation-engine/air-quality-ventilation-exposure-control	关键词显示该域主要增强认知、学习、工具、AI、技能或沟通能力。	heuristic-v0.1
alcohol-use-risk-reduction-continuity	C6	局部可能性解锁层	局部阻塞解除	domains/c6-local-unlocking/alcohol-use-risk-reduction-continuity	未命中更高层边界、载体、能力、转换或生态规则，暂归为具体场景的局部可能性解锁。	heuristic-v0.1
alert-fatigue-interruption-signal-management-continuity	C6	局部可能性解锁层	局部阻塞解除	domains/c6-local-unlocking/alert-fatigue-interruption-signal-management-continuity	未命中更高层边界、载体、能力、转换或生态规则，暂归为具体场景的局部可能性解锁。	heuristic-v0.1
allergic-atopic-disease-immunologic-burden-continuity	C2	可能性源体维护层	生命载体维护	domains/c2-source-maintenance/allergic-atopic-disease-immunologic-burden-continuity	关键词显示该域主要维护身体、脑、器官、细胞、急性生命风险或衰老损伤控制。	heuristic-v0.1
ambulatory-procedure-surgery-center-continuity	C6	局部可能性解锁层	局部阻塞解除	domains/c6-local-unlocking/ambulatory-procedure-surgery-center-continuity	未命中更高层边界、载体、能力、转换或生态规则，暂归为具体场景的局部可能性解锁。	heuristic-v0.1
amyotrophic-lateral-sclerosis-motor-neuron-continuity	C2	可能性源体维护层	生命载体维护	domains/c2-source-maintenance/amyotrophic-lateral-sclerosis-motor-neuron-continuity	关键词显示该域主要维护身体、脑、器官、细胞、急性生命风险或衰老损伤控制。	heuristic-v0.1
anaphylaxis-allergic-emergency-continuity	C2	可能性源体维护层	生命载体维护	domains/c2-source-maintenance/anaphylaxis-allergic-emergency-continuity	关键词显示该域主要维护身体、脑、器官、细胞、急性生命风险或衰老损伤控制。	heuristic-v0.1
animal-health-zoonotic-interface-one-health	C6	局部可能性解锁层	局部阻塞解除	domains/c6-local-unlocking/animal-health-zoonotic-interface-one-health	未命中更高层边界、载体、能力、转换或生态规则，暂归为具体场景的局部可能性解锁。	heuristic-v0.1
animal-shelter-rescue-rehoming-continuity	C6	局部可能性解锁层	局部阻塞解除	domains/c6-local-unlocking/animal-shelter-rescue-rehoming-continuity	未命中更高层边界、载体、能力、转换或生态规则，暂归为具体场景的局部可能性解锁。	heuristic-v0.1
animal-welfare-cruelty-reporting-continuity	C6	局部可能性解锁层	局部阻塞解除	domains/c6-local-unlocking/animal-welfare-cruelty-reporting-continuity	未命中更高层边界、载体、能力、转换或生态规则，暂归为具体场景的局部可能性解锁。	heuristic-v0.1
anti-corruption-public-integrity-accountability	C5	可能性生态承载层	外部生态承载	domains/c5-ecological-substrate/anti-corruption-public-integrity-accountability	主要提供主体展开未来所需的基础环境、资源、治理或基础设施。	heuristic-v0.1
antimicrobial-resilience	C2	可能性源体维护层	生命载体维护	domains/c2-source-maintenance/antimicrobial-resilience	直接维护身体、脑、器官、衰老、损伤或生命系统这些可能性源体。	heuristic-v0.1
anxiety-stress-threat-regulation-continuity	C6	局部可能性解锁层	局部阻塞解除	domains/c6-local-unlocking/anxiety-stress-threat-regulation-continuity	未命中更高层边界、载体、能力、转换或生态规则，暂归为具体场景的局部可能性解锁。	heuristic-v0.1
aphasia-language-access-recovery-continuity	C3	可能性生成引擎层	主体能力生成	domains/c3-generation-engine/aphasia-language-access-recovery-continuity	关键词显示该域主要增强认知、学习、工具、AI、技能或沟通能力。	heuristic-v0.1
api-platform-dependency-runtime-continuity	C6	局部可能性解锁层	局部阻塞解除	domains/c6-local-unlocking/api-platform-dependency-runtime-continuity	未命中更高层边界、载体、能力、转换或生态规则，暂归为具体场景的局部可能性解锁。	heuristic-v0.1
appointment-availability-wait-time-continuity	C6	局部可能性解锁层	局部阻塞解除	domains/c6-local-unlocking/appointment-availability-wait-time-continuity	未命中更高层边界、载体、能力、转换或生态规则，暂归为具体场景的局部可能性解锁。	heuristic-v0.1
apprenticeship-work-based-learning-continuity	C3	可能性生成引擎层	主体能力生成	domains/c3-generation-engine/apprenticeship-work-based-learning-continuity	关键词显示该域主要增强认知、学习、工具、AI、技能或沟通能力。	heuristic-v0.1
apraxia-of-speech-motor-planning-continuity	C2	可能性源体维护层	生命载体维护	domains/c2-source-maintenance/apraxia-of-speech-motor-planning-continuity	关键词显示该域主要维护身体、脑、器官、细胞、急性生命风险或衰老损伤控制。	heuristic-v0.1
armed-conflict-civilian-protection-ihl	C5	可能性生态承载层	外部生态承载	domains/c5-ecological-substrate/armed-conflict-civilian-protection-ihl	主要提供主体展开未来所需的基础环境、资源、治理或基础设施。	heuristic-v0.1
art-clinic-success-rate-quality-reporting-continuity	C4	可能性转换通道层	路径转换接口	domains/c4-conversion-channel/art-clinic-success-rate-quality-reporting-continuity	关键词显示该域主要处理研究、数据、模型、服务入口、身份记录、转化或治理接口。	heuristic-v0.1
arts-creative-expression-participation-continuity	C6	局部可能性解锁层	局部阻塞解除	domains/c6-local-unlocking/arts-creative-expression-participation-continuity	未命中更高层边界、载体、能力、转换或生态规则，暂归为具体场景的局部可能性解锁。	heuristic-v0.1
aspiration-pneumonia-airway-protection-continuity	C2	可能性源体维护层	生命载体维护	domains/c2-source-maintenance/aspiration-pneumonia-airway-protection-continuity	关键词显示该域主要维护身体、脑、器官、细胞、急性生命风险或衰老损伤控制。	heuristic-v0.1
assisted-reproductive-technology-ivf-cycle-continuity	C2	可能性源体维护层	生命载体维护	domains/c2-source-maintenance/assisted-reproductive-technology-ivf-cycle-continuity	关键词显示该域主要维护身体、脑、器官、细胞、急性生命风险或衰老损伤控制。	heuristic-v0.1
assistive-technology-access	C3	可能性生成引擎层	主体能力生成	domains/c3-generation-engine/assistive-technology-access	主要放大主体学习、认知、工具使用和生成新路径的能力。	heuristic-v0.1
asthma-copd-exacerbation-airway-continuity	C2	可能性源体维护层	生命载体维护	domains/c2-source-maintenance/asthma-copd-exacerbation-airway-continuity	关键词显示该域主要维护身体、脑、器官、细胞、急性生命风险或衰老损伤控制。	heuristic-v0.1
asthma-copd-maintenance-control-continuity	C2	可能性源体维护层	生命载体维护	domains/c2-source-maintenance/asthma-copd-maintenance-control-continuity	关键词显示该域主要维护身体、脑、器官、细胞、急性生命风险或衰老损伤控制。	heuristic-v0.1
asylum-refugee-protection-status-continuity	C5	可能性生态承载层	外部生态承载	domains/c5-ecological-substrate/asylum-refugee-protection-status-continuity	关键词显示该域主要承载能源、水、食物、住房、治理、经济、通信、灾害或基础设施环境。	heuristic-v0.1
attention-executive-control	C3	可能性生成引擎层	主体能力生成	domains/c3-generation-engine/attention-executive-control	主要放大主体学习、认知、工具使用和生成新路径的能力。	heuristic-v0.1
atv-off-highway-vehicle-injury-prevention-continuity	C6	局部可能性解锁层	局部阻塞解除	domains/c6-local-unlocking/atv-off-highway-vehicle-injury-prevention-continuity	未命中更高层边界、载体、能力、转换或生态规则，暂归为具体场景的局部可能性解锁。	heuristic-v0.1
auditory-processing-listening-effort-continuity	C2	可能性源体维护层	生命载体维护	domains/c2-source-maintenance/auditory-processing-listening-effort-continuity	关键词显示该域主要维护身体、脑、器官、细胞、急性生命风险或衰老损伤控制。	heuristic-v0.1
augmentative-alternative-communication-aac-continuity	C3	可能性生成引擎层	主体能力生成	domains/c3-generation-engine/augmentative-alternative-communication-aac-continuity	关键词显示该域主要增强认知、学习、工具、AI、技能或沟通能力。	heuristic-v0.1
autism-neurodiversity-support-continuity	C2	可能性源体维护层	生命载体维护	domains/c2-source-maintenance/autism-neurodiversity-support-continuity	关键词显示该域主要维护身体、脑、器官、细胞、急性生命风险或衰老损伤控制。	heuristic-v0.1
auto-insurance-liability-collision-claims-continuity	C5	可能性生态承载层	外部生态承载	domains/c5-ecological-substrate/auto-insurance-liability-collision-claims-continuity	关键词显示该域主要承载能源、水、食物、住房、治理、经济、通信、灾害或基础设施环境。	heuristic-v0.1
auto-loan-lease-servicing-repossession-continuity	C6	局部可能性解锁层	局部阻塞解除	domains/c6-local-unlocking/auto-loan-lease-servicing-repossession-continuity	未命中更高层边界、载体、能力、转换或生态规则，暂归为具体场景的局部可能性解锁。	heuristic-v0.1
autoimmune-rheumatic-disease-inflammatory-burden-continuity	C6	局部可能性解锁层	局部阻塞解除	domains/c6-local-unlocking/autoimmune-rheumatic-disease-inflammatory-burden-continuity	未命中更高层边界、载体、能力、转换或生态规则，暂归为具体场景的局部可能性解锁。	heuristic-v0.1
automation-bias-mode-confusion-oversight-continuity	C3	可能性生成引擎层	主体能力生成	domains/c3-generation-engine/automation-bias-mode-confusion-oversight-continuity	关键词显示该域主要增强认知、学习、工具、AI、技能或沟通能力。	heuristic-v0.1
autonomic-nervous-system-homeostasis	C2	可能性源体维护层	生命载体维护	domains/c2-source-maintenance/autonomic-nervous-system-homeostasis	直接维护身体、脑、器官、衰老、损伤或生命系统这些可能性源体。	heuristic-v0.1
aviation-security-screening-identity-continuity	C4	可能性转换通道层	路径转换接口	domains/c4-conversion-channel/aviation-security-screening-identity-continuity	关键词显示该域主要处理研究、数据、模型、服务入口、身份记录、转化或治理接口。	heuristic-v0.1
background-check-record-screening-continuity	C4	可能性转换通道层	路径转换接口	domains/c4-conversion-channel/background-check-record-screening-continuity	关键词显示该域主要处理研究、数据、模型、服务入口、身份记录、转化或治理接口。	heuristic-v0.1
backup-power-battery-generator-safety-continuity	C6	局部可能性解锁层	局部阻塞解除	domains/c6-local-unlocking/backup-power-battery-generator-safety-continuity	未命中更高层边界、载体、能力、转换或生态规则，暂归为具体场景的局部可能性解锁。	heuristic-v0.1
baggage-personal-property-travel-continuity	C3	可能性生成引擎层	主体能力生成	domains/c3-generation-engine/baggage-personal-property-travel-continuity	关键词显示该域主要增强认知、学习、工具、AI、技能或沟通能力。	heuristic-v0.1
banking-deposit-account-access-continuity	C5	可能性生态承载层	外部生态承载	domains/c5-ecological-substrate/banking-deposit-account-access-continuity	关键词显示该域主要承载能源、水、食物、住房、治理、经济、通信、灾害或基础设施环境。	heuristic-v0.1
basement-flooding-sump-pump-moisture-recovery-continuity	C5	可能性生态承载层	外部生态承载	domains/c5-ecological-substrate/basement-flooding-sump-pump-moisture-recovery-continuity	关键词显示该域主要承载能源、水、食物、住房、治理、经济、通信、灾害或基础设施环境。	heuristic-v0.1
bathroom-bathing-toileting-transfer-fall-safety-continuity	C6	局部可能性解锁层	局部阻塞解除	domains/c6-local-unlocking/bathroom-bathing-toileting-transfer-fall-safety-continuity	未命中更高层边界、载体、能力、转换或生态规则，暂归为具体场景的局部可能性解锁。	heuristic-v0.1
battery-thermal-runaway-fire-hazard-continuity	C6	局部可能性解锁层	局部阻塞解除	domains/c6-local-unlocking/battery-thermal-runaway-fire-hazard-continuity	未命中更高层边界、载体、能力、转换或生态规则，暂归为具体场景的局部可能性解锁。	heuristic-v0.1
bed-bug-infestation-sleep-housing-continuity	C5	可能性生态承载层	外部生态承载	domains/c5-ecological-substrate/bed-bug-infestation-sleep-housing-continuity	关键词显示该域主要承载能源、水、食物、住房、治理、经济、通信、灾害或基础设施环境。	heuristic-v0.1
bedroom-bed-transfer-entrapment-safety-continuity	C6	局部可能性解锁层	局部阻塞解除	domains/c6-local-unlocking/bedroom-bed-transfer-entrapment-safety-continuity	未命中更高层边界、载体、能力、转换或生态规则，暂归为具体场景的局部可能性解锁。	heuristic-v0.1
benign-prostatic-hyperplasia-luts-continuity	C6	局部可能性解锁层	局部阻塞解除	domains/c6-local-unlocking/benign-prostatic-hyperplasia-luts-continuity	未命中更高层边界、载体、能力、转换或生态规则，暂归为具体场景的局部可能性解锁。	heuristic-v0.1
bereavement-leave-grief-support-continuity	C6	局部可能性解锁层	局部阻塞解除	domains/c6-local-unlocking/bereavement-leave-grief-support-continuity	未命中更高层边界、载体、能力、转换或生态规则，暂归为具体场景的局部可能性解锁。	heuristic-v0.1
bicycle-helmet-wheeled-sports-head-injury-prevention-continuity	C6	局部可能性解锁层	局部阻塞解除	domains/c6-local-unlocking/bicycle-helmet-wheeled-sports-head-injury-prevention-continuity	未命中更高层边界、载体、能力、转换或生态规则，暂归为具体场景的局部可能性解锁。	heuristic-v0.1
bilateral-vestibular-hypofunction-gaze-gait-stability-continuity	C2	可能性源体维护层	生命载体维护	domains/c2-source-maintenance/bilateral-vestibular-hypofunction-gaze-gait-stability-continuity	关键词显示该域主要维护身体、脑、器官、细胞、急性生命风险或衰老损伤控制。	heuristic-v0.1
biobanking-biospecimen-quality-chain-of-custody	C4	可能性转换通道层	路径转换接口	domains/c4-conversion-channel/biobanking-biospecimen-quality-chain-of-custody	主要把科学、医疗、数据、制度或技术从潜在能力转成真实可用路径。	heuristic-v0.1
biodiversity-ecosystem-services-resilience	C5	可能性生态承载层	外部生态承载	domains/c5-ecological-substrate/biodiversity-ecosystem-services-resilience	主要提供主体展开未来所需的基础环境、资源、治理或基础设施。	heuristic-v0.1
biological-age-clocks-biomarker-validation	C2	可能性源体维护层	生命载体维护	domains/c2-source-maintenance/biological-age-clocks-biomarker-validation	关键词显示该域主要维护身体、脑、器官、细胞、急性生命风险或衰老损伤控制。	heuristic-v0.1
biometric-identifier-template-governance-continuity	C6	局部可能性解锁层	局部阻塞解除	domains/c6-local-unlocking/biometric-identifier-template-governance-continuity	未命中更高层边界、载体、能力、转换或生态规则，暂归为具体场景的局部可能性解锁。	heuristic-v0.1
biomolecular-condensates-phase-separation-stress-adaptation-continuity	C6	局部可能性解锁层	局部阻塞解除	domains/c6-local-unlocking/biomolecular-condensates-phase-separation-stress-adaptation-continuity	未命中更高层边界、载体、能力、转换或生态规则，暂归为具体场景的局部可能性解锁。	heuristic-v0.1
biostasis-cryopreservation	C1	可能性边界改写层	死亡/停滞边界	domains/c1-boundary-rewriting/biostasis-cryopreservation	直接处理死亡边界附近的生物停滞和未来复苏可能性。	heuristic-v0.1
bipolar-mood-episode-stability-continuity	C6	局部可能性解锁层	局部阻塞解除	domains/c6-local-unlocking/bipolar-mood-episode-stability-continuity	未命中更高层边界、载体、能力、转换或生态规则，暂归为具体场景的局部可能性解锁。	heuristic-v0.1
blood-organ-tissue-biovigilance-transplantation	C2	可能性源体维护层	生命载体维护	domains/c2-source-maintenance/blood-organ-tissue-biovigilance-transplantation	关键词显示该域主要维护身体、脑、器官、细胞、急性生命风险或衰老损伤控制。	heuristic-v0.1
blood-oxygen-hemostasis	C2	可能性源体维护层	生命载体维护	domains/c2-source-maintenance/blood-oxygen-hemostasis	直接维护身体、脑、器官、衰老、损伤或生命系统这些可能性源体。	heuristic-v0.1
bloodborne-pathogens-sharps-injury-worker-continuity	C2	可能性源体维护层	生命载体维护	domains/c2-source-maintenance/bloodborne-pathogens-sharps-injury-worker-continuity	关键词显示该域主要维护身体、脑、器官、细胞、急性生命风险或衰老损伤控制。	heuristic-v0.1
boating-life-jacket-watercraft-safety-continuity	C5	可能性生态承载层	外部生态承载	domains/c5-ecological-substrate/boating-life-jacket-watercraft-safety-continuity	关键词显示该域主要承载能源、水、食物、住房、治理、经济、通信、灾害或基础设施环境。	heuristic-v0.1
border-community-cross-border-care-continuity	C5	可能性生态承载层	外部生态承载	domains/c5-ecological-substrate/border-community-cross-border-care-continuity	关键词显示该域主要承载能源、水、食物、住房、治理、经济、通信、灾害或基础设施环境。	heuristic-v0.1
bppv-positional-vertigo-continuity	C6	局部可能性解锁层	局部阻塞解除	domains/c6-local-unlocking/bppv-positional-vertigo-continuity	未命中更高层边界、载体、能力、转换或生态规则，暂归为具体场景的局部可能性解锁。	heuristic-v0.1
brain-computer-interface-neurotechnology-governance	C2	可能性源体维护层	生命载体维护	domains/c2-source-maintenance/brain-computer-interface-neurotechnology-governance	关键词显示该域主要维护身体、脑、器官、细胞、急性生命风险或衰老损伤控制。	heuristic-v0.1
brain-preservation-connectomics-emulation	C1	可能性边界改写层	脑保存/身份边界	domains/c1-boundary-rewriting/brain-preservation-connectomics-emulation	直接处理脑结构保存、connectomics 和 emulation 对主体连续性的边界问题。	heuristic-v0.1
breast-cancer-screening-treatment-survivorship-continuity	C2	可能性源体维护层	生命载体维护	domains/c2-source-maintenance/breast-cancer-screening-treatment-survivorship-continuity	关键词显示该域主要维护身体、脑、器官、细胞、急性生命风险或衰老损伤控制。	heuristic-v0.1
building-fire-life-safety-codes	C6	局部可能性解锁层	局部阻塞解除	domains/c6-local-unlocking/building-fire-life-safety-codes	未命中更高层边界、载体、能力、转换或生态规则，暂归为具体场景的局部可能性解锁。	heuristic-v0.1
built-environment-accessibility-universal-design	C5	可能性生态承载层	外部生态承载	domains/c5-ecological-substrate/built-environment-accessibility-universal-design	关键词显示该域主要承载能源、水、食物、住房、治理、经济、通信、灾害或基础设施环境。	heuristic-v0.1
burn-injury-critical-care-rehabilitation-continuity	C2	可能性源体维护层	生命载体维护	domains/c2-source-maintenance/burn-injury-critical-care-rehabilitation-continuity	关键词显示该域主要维护身体、脑、器官、细胞、急性生命风险或衰老损伤控制。	heuristic-v0.1
burn-wound-aftercare-scar-function-continuity	C2	可能性源体维护层	生命载体维护	domains/c2-source-maintenance/burn-wound-aftercare-scar-function-continuity	关键词显示该域主要维护身体、脑、器官、细胞、急性生命风险或衰老损伤控制。	heuristic-v0.1
buy-now-pay-later-installment-financing-continuity	C6	局部可能性解锁层	局部阻塞解除	domains/c6-local-unlocking/buy-now-pay-later-installment-financing-continuity	未命中更高层边界、载体、能力、转换或生态规则，暂归为具体场景的局部可能性解锁。	heuristic-v0.1
cacfp-child-adult-care-food-program-continuity	C5	可能性生态承载层	外部生态承载	domains/c5-ecological-substrate/cacfp-child-adult-care-food-program-continuity	关键词显示该域主要承载能源、水、食物、住房、治理、经济、通信、灾害或基础设施环境。	heuristic-v0.1
calendar-scheduling-appointment-continuity	C6	局部可能性解锁层	局部阻塞解除	domains/c6-local-unlocking/calendar-scheduling-appointment-continuity	未命中更高层边界、载体、能力、转换或生态规则，暂归为具体场景的局部可能性解锁。	heuristic-v0.1
caloric-restriction-fasting-energy-balance-governance-continuity	C5	可能性生态承载层	外部生态承载	domains/c5-ecological-substrate/caloric-restriction-fasting-energy-balance-governance-continuity	关键词显示该域主要承载能源、水、食物、住房、治理、经济、通信、灾害或基础设施环境。	heuristic-v0.1
campus-basic-needs-student-support-continuity	C6	局部可能性解锁层	局部阻塞解除	domains/c6-local-unlocking/campus-basic-needs-student-support-continuity	未命中更高层边界、载体、能力、转换或生态规则，暂归为具体场景的局部可能性解锁。	heuristic-v0.1
campus-disability-accommodations-accessibility-continuity	C6	局部可能性解锁层	局部阻塞解除	domains/c6-local-unlocking/campus-disability-accommodations-accessibility-continuity	未命中更高层边界、载体、能力、转换或生态规则，暂归为具体场景的局部可能性解锁。	heuristic-v0.1
campus-mental-health-crisis-student-support-continuity	C6	局部可能性解锁层	局部阻塞解除	domains/c6-local-unlocking/campus-mental-health-crisis-student-support-continuity	未命中更高层边界、载体、能力、转换或生态规则，暂归为具体场景的局部可能性解锁。	heuristic-v0.1
campus-safety-title-ix-clery-continuity	C6	局部可能性解锁层	局部阻塞解除	domains/c6-local-unlocking/campus-safety-title-ix-clery-continuity	未命中更高层边界、载体、能力、转换或生态规则，暂归为具体场景的局部可能性解锁。	heuristic-v0.1
cancer-control	C2	可能性源体维护层	生命载体维护	domains/c2-source-maintenance/cancer-control	直接维护身体、脑、器官、衰老、损伤或生命系统这些可能性源体。	heuristic-v0.1
cancer-screening-early-detection-continuity	C2	可能性源体维护层	生命载体维护	domains/c2-source-maintenance/cancer-screening-early-detection-continuity	关键词显示该域主要维护身体、脑、器官、细胞、急性生命风险或衰老损伤控制。	heuristic-v0.1
cancer-survivorship-late-effects-continuity	C2	可能性源体维护层	生命载体维护	domains/c2-source-maintenance/cancer-survivorship-late-effects-continuity	关键词显示该域主要维护身体、脑、器官、细胞、急性生命风险或衰老损伤控制。	heuristic-v0.1
captions-relay-service-communication-access-continuity	C3	可能性生成引擎层	主体能力生成	domains/c3-generation-engine/captions-relay-service-communication-access-continuity	关键词显示该域主要增强认知、学习、工具、AI、技能或沟通能力。	heuristic-v0.1
