index	status	title	page_link	local_file_or_reason	bytes
11	downloaded	Drug treatment alters performance in a neural microphysiological system of information processing	https://doi.org/10.1038/s42003-025-08194-6	/home/lenovo/Downloads/cortical-labs-research-papers/11 - Drug treatment alters performance in a neural microphysiological system of information processing.pdf	8437613
12	downloaded	Harnessing Intelligence from Brain Cells In Vitro	https://doi.org/10.1177/10738584251321438	/home/lenovo/Downloads/cortical-labs-research-papers/12 - Harnessing Intelligence from Brain Cells In Vitro.pdf	4535403
13	downloaded	Organoid intelligence (OI): the new frontier in biocomputing and intelligence-in-a-dish	https://doi.org/10.3389/fsci.2023.1017235	/home/lenovo/Downloads/cortical-labs-research-papers/13 - Organoid intelligence (OI) the new frontier in biocomputing and intelligence-in-a-dish.pdf	6114382
14	downloaded	The technology, opportunities, and challenges of Synthetic Biological Intelligence	https://doi.org/10.1016/j.biotechadv.2023.108233	/home/lenovo/Downloads/cortical-labs-research-papers/14 - The technology opportunities and challenges of Synthetic Biological Intelligence.pdf	2411452
15	downloaded	Biological Neurons Compete with Deep Reinforcement Learning in Sample Efficiency in a Simulated Gameworld	https://doi.org/10.48550/arXiv.2405.16946	/home/lenovo/Downloads/cortical-labs-research-papers/15 - Biological Neurons Compete with Deep Reinforcement Learning in Sample Efficiency in a Simulated Gameworld.pdf	24306987
16	downloaded	Toward a nomenclature consensus for diverse intelligent systems: Call for collaboration	https://doi.org/10.1016/j.xinn.2024.100658	/home/lenovo/Downloads/cortical-labs-research-papers/16 - Toward a nomenclature consensus for diverse intelligent systems Call for collaboration.pdf	2353461
17	downloaded	Starting a synthetic biological intelligence lab from scratch	https://doi.org/10.1016/j.patter.2025.101232	/home/lenovo/Downloads/cortical-labs-research-papers/17 - Starting a synthetic biological intelligence lab from scratch.pdf	8235772
18	downloaded	Embodied Neural Systems Can Enable Iterative Investigations of Morally Relevant States	https://doi.org/10.1523/JNEUROSCI.0431-24.2024	/home/lenovo/Downloads/cortical-labs-research-papers/18 - Embodied Neural Systems Can Enable Iterative Investigations of Morally Relevant States.pdf	76900
19	downloaded	Human Neural Organoid Microphysiological Systems Show the Building Blocks Necessary for Basic Learning and Memory	https://doi.org/10.1101/2024.09.17.613333	/home/lenovo/Downloads/cortical-labs-research-papers/19 - Human Neural Organoid Microphysiological Systems Show the Building Blocks Necessary for Basic Learning and Memory.pdf	6865700
20	downloaded	Neurons Embodied in a Virtual World: Evidence for Organoid Ethics?	https://doi.org/10.1080/21507740.2022.2048731	/home/lenovo/Downloads/cortical-labs-research-papers/20 - Neurons Embodied in a Virtual World Evidence for Organoid Ethics.pdf	1414793
21	downloaded	Active Inference and Intentional Behavior	https://doi.org/10.1162/neco_a_01738	/home/lenovo/Downloads/cortical-labs-research-papers/21 - Active Inference and Intentional Behavior.pdf	3530891
22	downloaded	Intersection between the biological and digital: synthetic biological intelligence and organoid intelligence	https://doi.org/10.3389/fncel.2024.1542629	/home/lenovo/Downloads/cortical-labs-research-papers/22 - Intersection between the biological and digital synthetic biological intelligence and organoid intelligence.pdf	101019
