index	status	title	source_url	saved_path	resolved_url	message
11	downloaded	Drug treatment alters performance in a neural microphysiological system of information processing	https://doi.org/10.1038/s42003-025-08194-6	/home/lenovo/Downloads/cortical-labs-research-papers/11 - Drug treatment alters performance in a neural microphysiological system of information processing.pdf	https://www.nature.com/articles/s42003-025-08194-6	8437613 bytes from https://link.springer.com/content/pdf/10.1038/s42003-025-08194-6.pdf
12	failed	Harnessing Intelligence from Brain Cells In Vitro	https://doi.org/10.1177/10738584251321438		https://journals.sagepub.com/doi/10.1177/10738584251321438	HTTP 404 https://link.springer.com/content/pdf/10.1177/10738584251321438.pdf
13	downloaded	Organoid intelligence (OI): the new frontier in biocomputing and intelligence-in-a-dish	https://doi.org/10.3389/fsci.2023.1017235	/home/lenovo/Downloads/cortical-labs-research-papers/13 - Organoid intelligence (OI) the new frontier in biocomputing and intelligence-in-a-dish.pdf	https://www.frontiersin.org/journals/science/articles/10.3389/fsci.2023.1017235/full	6114382 bytes from https://www.frontiersin.org/journals/science/articles/10.3389/fsci.2023.1017235/pdf
14	failed	The technology, opportunities, and challenges of Synthetic Biological Intelligence	https://doi.org/10.1016/j.biotechadv.2023.108233		https://linkinghub.elsevier.com/retrieve/pii/S0734975023001404	HTTP 404 https://link.springer.com/content/pdf/10.1016/j.biotechadv.2023.108233.pdf
15	downloaded	Biological Neurons Compete with Deep Reinforcement Learning in Sample Efficiency in a Simulated Gameworld	https://doi.org/10.48550/arXiv.2405.16946	/home/lenovo/Downloads/cortical-labs-research-papers/15 - Biological Neurons Compete with Deep Reinforcement Learning in Sample Efficiency in a Simulated Gameworld.pdf	https://arxiv.org/abs/2405.16946	24306987 bytes from https://arxiv.org/pdf/2405.16946
16	failed	Toward a nomenclature consensus for diverse intelligent systems: Call for collaboration	https://doi.org/10.1016/j.xinn.2024.100658		https://linkinghub.elsevier.com/retrieve/pii/S2666675824000961	HTTP 404 https://link.springer.com/content/pdf/10.1016/j.xinn.2024.100658.pdf
17	failed	Starting a synthetic biological intelligence lab from scratch	https://doi.org/10.1016/j.patter.2025.101232		https://linkinghub.elsevier.com/retrieve/pii/S2666389925000807	HTTP 404 https://link.springer.com/content/pdf/10.1016/j.patter.2025.101232.pdf
18	failed	Embodied Neural Systems Can Enable Iterative Investigations of Morally Relevant States	https://doi.org/10.1523/JNEUROSCI.0431-24.2024		https://www.jneurosci.org/lookup/doi/10.1523/JNEUROSCI.0431-24.2024	HTTP 404 https://link.springer.com/content/pdf/10.1523/JNEUROSCI.0431-24.2024.pdf
19	failed	Human Neural Organoid Microphysiological Systems Show the Building Blocks Necessary for Basic Learning and Memory	https://doi.org/10.1101/2024.09.17.613333		https://www.biorxiv.org/lookup/doi/10.1101/2024.09.17.613333	HTTP 404 https://link.springer.com/content/pdf/10.1101/2024.09.17.613333.pdf
20	failed	Neurons Embodied in a Virtual World: Evidence for Organoid Ethics?	https://doi.org/10.1080/21507740.2022.2048731		https://www.tandfonline.com/doi/full/10.1080/21507740.2022.2048731	HTTP 404 https://link.springer.com/content/pdf/10.1080/21507740.2022.2048731.pdf
21	failed	Active Inference and Intentional Behavior	https://doi.org/10.1162/neco_a_01738		https://direct.mit.edu/neco/article/37/4/666/128203/Active-Inference-and-Intentional-Behavior	HTTP 403 https://direct.mit.edu/neco/article-pdf/doi/10.1162/neco_a_01738
22	downloaded	Intersection between the biological and digital: synthetic biological intelligence and organoid intelligence	https://doi.org/10.3389/fncel.2024.1542629	/home/lenovo/Downloads/cortical-labs-research-papers/22 - Intersection between the biological and digital synthetic biological intelligence and organoid intelligence.pdf	https://www.frontiersin.org/journals/cellular-neuroscience/articles/10.3389/fncel.2024.1542629/full	101019 bytes from https://www.frontiersin.org/journals/cellular-neuroscience/articles/10.3389/fncel.2024.1542629/pdf
